anni,genere,output
20,0,yes
24,0,yes
22,1,yes
22,0,yes
22,1,yes
27,0,yes
22,1,yes
24,0,yes
23,0,yes
23,0,yes
22,0,yes
23,1,yes
23,1,yes
21,1,yes
23,0,yes
24,0,yes
28,0,yes
23,0,yes
25,1,yes
21,0,yes
24,1,yes
22,1,yes
22,0,yes
23,1,yes
21,1,yes
25,1,yes
22,0,yes
22,1,yes
23,0,yes
22,1,yes
22,0,yes
22,1,yes
25,1,yes
22,0,yes
22,0,yes
25,1,yes
25,1,no
32,0,yes
23,0,yes
23,0,yes
30,1,yes
23,1,yes
23,1,yes
22,0,yes
22,1,yes
27,0,yes
24,0,yes
23,1,yes
23,0,yes
22,0,yes
23,0,yes
23,0,yes
24,1,yes
25,1,yes
22,1,yes
28,0,yes
22,0,yes
24,0,yes
31,1,yes
25,1,yes
23,1,yes
22,1,yes
23,1,yes
23,1,yes
23,0,yes
25,1,yes
24,1,yes
23,0,yes
23,0,yes
24,0,yes
22,1,yes
24,0,no
25,0,yes
23,1,yes
26,1,yes
24,0,yes
26,1,yes
21,1,yes
22,0,yes
24,1,yes
24,1,yes
23,0,yes
23,1,yes
22,1,yes
23,1,yes
24,0,yes
24,1,yes
25,1,yes
25,1,no
28,1,no
27,0,no
26,1,no
22,1,yes
24,0,yes
23,1,yes
25,1,yes
23,0,yes
23,0,yes
26,1,no
32,0,no
24,0,no
23,1,yes
22,0,yes
24,0,yes
26,1,yes
28,1,no
26,1,no
25,1,yes
25,1,no
18,1,yes
21,1,yes
25,1,yes
25,1,yes
23,0,yes
23,1,yes
25,0,no
31,0,yes
24,1,no
32,0,yes
25,1,yes
27,0,no
26,1,yes
26,0,yes
32,1,yes
24,1,no
27,0,yes
23,1,yes
25,1,yes
23,1,yes
23,0,yes
28,1,yes
32,0,no
23,1,yes
19,1,no
19,0,yes
27,0,no
25,1,yes
33,1,no
26,0,yes
22,0,yes
23,1,no
22,0,yes
25,1,yes
30,0,yes
24,1,no
25,1,yes
23,1,yes
24,0,yes
32,1,yes
22,1,yes
23,1,yes
23,0,yes
20,1,yes
21,1,yes
24,0,yes
23,0,yes
25,1,yes
32,0,yes
27,1,no
20,0,yes
21,1,yes
26,1,no
25,1,yes
26,1,yes
26,0,yes
27,1,no
27,0,no
24,0,yes
25,1,yes
20,1,no
22,1,yes
26,0,yes
27,1,yes
25,0,yes
24,1,yes
23,0,yes
22,1,no
26,1,no
26,1,yes
25,0,no
29,0,no
23,1,yes
22,0,yes
22,1,no
32,0,yes
28,1,yes
22,1,yes
25,1,yes
26,0,no
31,1,yes
24,1,no
24,1,yes
31,0,yes
26,1,yes
24,0,yes
22,0,yes
19,1,yes
25,1,yes
23,0,yes
23,0,no
23,1,yes
24,1,yes
22,0,yes
26,1,yes
25,0,yes
20,1,yes
29,1,no
23,0,yes
25,1,yes
29,0,no
27,1,no
25,1,yes
21,1,no
23,1,yes
24,0,yes
32,1,yes
28,1,yes
26,1,no
31,0,yes
27,0,yes
21,0,yes
23,0,no
26,1,no
32,1,yes
25,0,yes
28,1,yes
21,0,yes
24,1,yes
26,0,no
32,1,yes
29,1,yes
21,1,yes
24,0,no
26,1,yes
25,1,yes
29,1,no
22,1,yes
24,1,yes
27,1,yes
23,0,no
32,1,yes
22,0,yes
28,1,yes
23,0,yes
30,1,no
21,1,yes
26,0,no
25,1,yes
31,1,no
23,0,yes
29,0,yes
21,1,yes
20,1,yes
22,1,yes
30,0,no
27,1,yes
23,1,no
30,1,no
23,1,yes
28,0,no
30,1,yes
24,0,yes
21,1,no
23,0,no
25,1,yes
24,0,yes
26,1,no
25,0,yes
22,1,yes
26,0,yes
23,1,yes
21,0,no
25,1,yes
24,0,yes
22,1,yes
23,0,yes
24,1,yes
22,0,yes
30,1,no
23,0,yes
19,1,yes
21,0,yes
23,1,yes
24,0,yes
26,0,no
26,0,yes
25,0,yes
28,0,no
25,0,yes
20,0,yes
27,0,no
25,0,no
24,0,no
25,0,no
25,0,no
24,0,yes
24,1,yes
22,1,yes
28,1,no
25,0,no
22,1,yes
22,0,yes
22,1,yes
27,0,yes
22,1,yes
24,0,yes
23,0,yes
23,0,yes
22,0,yes
23,1,yes
32,1,yes
25,0,yes
28,1,yes
21,0,yes
24,1,yes
26,0,no
32,1,yes
29,1,yes
21,1,yes
24,0,no
26,1,yes
21,1,yes
29,1,no
22,1,yes
24,1,yes
27,1,yes
23,0,no
32,1,yes
22,0,yes
22,0,yes
26,1,yes
25,0,yes
20,1,yes
29,1,no
23,0,yes
25,1,yes
29,0,no
27,1,no
25,1,yes
21,1,no
23,1,yes
24,0,yes
22,1,yes
28,1,yes
26,1,no
22,0,yes
26,1,yes
25,0,yes
20,1,yes
29,1,no
23,0,yes
25,1,yes
29,0,no
27,1,no
25,1,yes
21,1,no
24,1,yes
26,0,no
32,1,yes
29,1,yes
21,1,yes
24,0,no
26,1,yes
31,1,yes
29,1,no
22,1,yes
24,1,yes
27,1,yes
23,0,no
30,1,yes
22,0,yes
28,1,yes
23,0,yes
30,1,no
21,1,yes
26,0,no
25,1,yes
31,1,no
23,0,yes
22,1,yes
27,0,yes
22,1,yes
24,0,yes
23,0,yes
23,0,yes
22,0,yes
23,1,yes
23,1,yes